LPP_PRS_IDE,LPP_RED_LIB,LPP_VAL_DTF,LPP_MAX_AGE,LPP_PRS_TYP,LPP_MED_IND,LPP_ARB_CHA,LPP_ARB_SC1,LPP_ARB_SC2,LPP_ARB_SC3,LPP_ARB_SC4,LPP_ARB_SC5,LPP_ARB_SC6,LPP_ARB_SC7,LPP_ARB_SC8,LPP_ARB_SC9,LPP_ARB_BAS,LPP_PRO_COD,LPP_ANC_COD
6110474,"TIRE-LAIT, ACHAT KIT 2 TETERELLES, TUBE DE RACCORDEMENT.,SANEVA",,0,A,N,1,1,7,5,11,0,0,0,0,0,27,,1128044
6110617,"TIRE-LAIT, ACHAT KIT 2 TETERELLES, TUBE DE RACCORDEMENT.,PHILIPS",,0,A,N,1,1,7,5,11,0,0,0,0,0,28,,1128044
6111427,"TIRE-LAIT, ACHAT KIT TETERELLE, BIBERON, TUBE DE RACCORDEMENT.,SANEVA",,0,A,N,1,1,7,5,11,0,0,0,0,0,13,,1140252
6143746,"TIRE-LAIT, ACHAT KIT 2 TETERELLES, BIBERON, TUBE DE RACCORDEMENT.,GLX",,0,A,N,1,1,7,5,11,0,0,0,0,0,21,,1128044
6143769,"TIRE-LAIT, ACHAT KIT TETERELLE, BIBERON, TUBE DE RACCORDEMENT.,GLX",,0,A,N,1,1,7,5,11,0,0,0,0,0,12,,1140252
6178609,"TIRE-LAIT, ACHAT KIT 2 TETERELLES, BIBERON, TUBE DE RACCORDEMENT.,LANSINOH",,0,A,N,1,1,7,5,11,0,0,0,0,0,25,,1128044
6170690,"TIRE-LAIT, ACHAT KIT 2 TETERELLES, BIBERON, TUBE DE RACCORDEMENT.,SEINBIOSE",,0,A,N,1,1,7,5,11,0,0,0,0,0,23,,1128044
6171820,"TIRE-LAIT, ACHAT KIT TETERELLE, BIBERON, TUBE DE RACCORDEMENT.,MEDIFLUX",,0,A,N,1,1,7,5,11,0,0,0,0,0,10,,1140252
6171850,"TIRE-LAIT, ACHAT KIT 2 TETERELLES, BIBERON, TUBE DE RACCORDEMENT.,MEDIFLUX",,0,A,N,1,1,7,5,11,0,0,0,0,0,24,,1128044
6170648,"TIRE-LAIT, ACHAT KIT TETERELLE, BIBERON, TUBE DE RACCORDEMENT.,FR ALLAITEMENT",,0,A,N,1,1,7,5,11,0,0,0,0,0,11,,1140252
6170654,"TIRE-LAIT, ACHAT KIT 2 TETERELLES, BIBERON, TUBE DE RACCORDEMENT.,FR ALLAITEMENT",,0,A,N,1,1,7,5,11,0,0,0,0,0,20,,1128044
6170683,"TIRE-LAIT, ACHAT KIT TETERELLE, BIBERON, TUBE DE RACCORDEMENT.,SEINBIOSE",,0,A,N,1,1,7,5,11,0,0,0,0,0,9,,1140252
6186603,"TIRE-LAIT, ACHAT KIT TETERELLE, BIBERON, TUBE DE RACCORDEMENT.,BEURER FRANCE",,0,A,N,1,1,7,5,11,0,0,0,0,0,4,,1140252
6132599,"TIRE-LAIT, ACHAT KIT TETERELLE, BIBERON, TUBE DE RACCORDEMENT.,DTF",,0,A,N,1,1,7,5,11,0,0,0,0,0,5,,1140252
6132613,"TIRE-LAIT, ACHAT KIT 2 TETERELLES, BIBERON, TUBE DE RACCORDEMENT.,DTF",,0,A,N,1,1,7,5,11,0,0,0,0,0,19,,1128044
6133245,"TIRE-LAIT, ACHAT KIT 2 TETERELLES, BIBERON, TUBE DE RACCORDEMENT.,ALMAFIL",,0,A,N,1,1,7,5,11,0,0,0,0,0,18,,1128044
6133251,"TIRE-LAIT, ACHAT KIT TETERELLE, BIBERON, TUBE DE RACCORDEMENT.,ALMAFIL",,0,A,N,1,1,7,5,11,0,0,0,0,0,6,,1140252
6133720,"TIRE-LAIT, ACHAT KIT TETERELLE, BIBERON, TUBE DE RACCORDEMENT.,LANSINOH",,0,A,N,1,1,7,5,11,0,0,0,0,0,7,,1140252
6134569,"TIRE-LAIT, ACHAT KIT 2 TETERELLES, TUBE DE RACCORDEMENT.,ONNAMED",,0,A,N,1,1,7,5,11,0,0,0,0,0,16,,1128044
6186595,"TIRE-LAIT, ACHAT KIT 2 TETERELLES, TUBE DE RACCORDEMENT.,BEURER FRANCE",,0,A,N,1,1,7,5,11,0,0,0,0,0,17,,1128044
1161248,"TIRE-LAIT ELECTRIQUE REGLABLE A DEPRESSION, FORFAIT MISE A DISPOSITION.",,0,V,N,1,1,7,5,11,0,0,0,0,0,1,,
1123064,"PRESERVATIF MASCULIN LUBRIFIE, INDE, ANTOINE HEALTH CARE, BE LOVED, B/5.",,0,A,O,1,1,7,5,10,0,0,0,0,0,5,,
1157494,"PRESERVATIF MASCULIN LUBRIFIE, LIFESTYLES, MANIX CLASSIC, B/12.",,0,A,O,1,1,7,5,10,0,0,0,0,0,12,,
1185705,"PRESERVATIF MASCULIN LUBRIFIE, TERPAN, SURE & SMILE, B/12.",,0,A,O,1,1,7,5,10,0,0,0,0,0,8,,
1170684,"PRESERVATIF MASCULIN LUBRIFIE, MAJORELLE, EDEN, B/24.",,0,A,O,1,1,7,5,10,0,0,0,0,0,3,,
1195649,"PRESERVATIF FEMININ LUBRIFIE, ANTOINE HEALTH CARE, BE LOVED FREE, B/2",,0,A,O,1,1,7,5,14,0,0,0,0,0,1,,
1129440,"TIRE-LAIT ELECTRIQUE REGLABLE A DEPRESSION, FORFAIT LOCATION HEBDOMADAIRE.",,0,L,N,1,1,7,5,11,0,0,0,0,0,2,,
1128044,"TIRE-LAIT, ACHAT KIT 2 TETERELLES, BIBERON, TUBE DE RACCORDEMENT.",,0,A,N,1,1,7,5,11,0,0,0,0,0,14,,
1140252,"TIRE-LAIT, ACHAT KIT TETERELLE, BIBERON, TUBE DE RACCORDEMENT.",,0,A,N,1,1,7,5,11,0,0,0,0,0,3,,
1141300,"PRESERVATIF MASCULIN LUBRIFIE, TERPAN, SURE & SMILE, B/6.",,0,A,O,1,1,7,5,10,0,0,0,0,0,7,,
1138605,"PRESERVATIF FEMININ LUBRIFIE, SUGANT, ORMELLE, B/10",,0,A,O,1,1,7,5,14,0,0,0,0,0,3,,
1103802,"PRESERVATIF MASCULIN LUBRIFIE, POLIDIS, SORTEZ COUVERTS ! , B/12.",,0,A,O,1,1,7,5,10,0,0,0,0,0,4,,
1104664,"PRESERVATIF MASCULIN LUBRIFIE, LIFESTYLES, MANIX CLASSIC, B/24.",,0,A,O,1,1,7,5,10,0,0,0,0,0,10,,
1110736,"PRESERVATIF FEMININ LUBRIFIE, SUGANT, ORMELLE, B/5",,0,A,O,1,1,7,5,14,0,0,0,0,0,2,,
1110386,"PRESERVATIF FEMININ LUBRIFIE, TERPAN, SO SEXY & SMILE, B/10",,0,A,O,1,1,7,5,14,0,0,0,0,0,5,,
1196761,"PRESERVATIF MASCULIN LUBRIFIE, POLIDIS, SORTEZ COUVERTS! , PAR 24",,0,A,O,1,1,7,5,10,0,0,0,0,0,11,,
1195170,"PRESERVATIF MASCULIN LUBRIFIE, MAJORELLE, EDEN, B/12.",,0,A,O,1,1,7,5,10,0,0,0,0,0,2,,
1175919,"PRESERVATIF FEMININ LUBRIFIE, TERPAN, SO SEXY & SMILE, B/3",,0,A,O,1,1,7,5,14,0,0,0,0,0,4,,
1193550,"PRESERVATIF MASCULIN LUBRIFIE, LIFESTYLES, MANIX CLASSIC, B/6.",,0,A,O,1,1,7,5,10,0,0,0,0,0,9,,
6195281,"TIRE-LAIT, ACHAT KIT 2 TETERELLES, TUBE DE RACCORDEMENT.,GUANG. HORIGEN",,0,A,N,1,1,7,5,11,0,0,0,0,0,15,,1128044
6137757,"TIRE-LAIT, ACHAT KIT 2 TETERELLES, BIBERON, TUBE DE RACCORDEMENT.,MEDELA",,0,A,N,1,1,7,5,11,0,0,0,0,0,22,,1128044
6137770,"TIRE-LAIT, ACHAT KIT TETERELLE, BIBERON, TUBE DE RACCORDEMENT.,MEDELA",,0,A,N,1,1,7,5,11,0,0,0,0,0,8,,1140252
1101186,"PRESERVATIF MASCULIN LUBRIFIE, MAJORELLE, EDEN, B/6.",,0,A,O,1,1,7,5,10,0,0,0,0,0,1,,
1144511,"PRESERVATIF MASCULIN LUBRIFIE, TERPAN, SURE & SMILE, B/24.",,0,A,O,1,1,7,5,10,0,0,0,0,0,13,,
1145025,"PRESERVATIF MASCULIN LUBRIFIE, THAILANDE, ANTOINE HEALTH CARE, BE LOVED, B/5.",,0,A,O,1,1,7,5,10,0,0,0,0,0,6,,
6184828,"TIRE-LAIT, ACHAT KIT 2 TETERELLES, BIBERON, TUBE DE RACCORDEMENT.,AMA SANTE",,0,A,N,1,1,7,5,11,0,0,0,0,0,26,,1128044
